Fecha Transferencia,Fecha Producción,Fecha Descongelamiento,Línea celular,Tipo celular,Días de cultivo celular,% Confluencia,Cantidad de Pasajes bool,Cantidad de Pasajes numeric,"Tiempo con bajo suero (DMEM 0,5% SFB) en horas",Origen,% Maduración,Calidad,% Clivaje,Medio Placas del día,Día cambio de medio,Día de evolución,Grado embrionario,Fragmentación celular,ø Eje menor,ø Eje mayor,Tipo de ovocito,Tipo embrión,Yegua receptora N°,Días post-ovulación,Preñez
2/11/2023,25/10/2023,19/10/2023,Micky Plaza  K333,FB-E,6,100,0,1,48,Extranjero,61.68,Sin observaciones,40,Global,5,D8,II,Sí,747.2,748.3,Con ZP,Fresco,419,4,Sin éxito
2/11/2023,25/10/2023,19/10/2023,Micky Plaza  K333,FB-E,6,100,0,1,48,Extranjero,61.68,Sin observaciones,40,Global,5,D8,II,Sí,630.3,659,Con ZP,Fresco,217,4,Sin éxito
2/11/2023,25/10/2023,19/10/2023,Micky Plaza  K333,FB-E,6,100,0,1,48,Extranjero,61.68,Sin observaciones,40,Global,5,D8,II,No,802.7,811.9,Con ZP,Fresco,343,5,Exitosa
7/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D7,II,No,752.8,771.4,Con ZP,Fresco,289,5,Exitosa
7/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D7,II,No,824,836.4,Con ZP,Fresco,2731,5,Sin éxito
7/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D7,II,Sí,693.7,721,Con ZP,Fresco,634,5,Sin éxito
7/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D7,II,Sí,731.2,812.4,Con ZP,Fresco,370,4,Exitosa
7/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D7,II,No,784.2,822.2,Con ZP,Fresco,656,5,Sin éxito
8/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D8,II,No,688.3,739,Con ZP,Fresco,268,5,Sin éxito
8/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D8,II,No,768.1,782.2,Con ZP,Fresco,1568,5,Exitosa
9/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D9,III,Sí,589.5,595.6,Con ZP,Fresco,419 LV,4,Exitosa
9/11/2023,2/11/2023,26/10/2023,Fina Chelsea K377,MSC-E,7,100,0,1,72,Local,64.42,Sin observaciones,36.84,F12,5,D7,II,No,734.7,747,Con ZP,Fresco,447,4,Sin éxito
9/11/2023,2/11/2023,26/10/2023,Fina Chelsea K377,MSC-E,7,100,0,1,72,Local,64.42,Sin observaciones,36.84,F12,5,D7,II,No,678.7,684.1,Con ZP,Fresco,164,4,Exitosa
